Order Date,Product Name,Category,Region,Quantity,Sales,Profit,Daily_Web_Visits,Ad_Spend,Customer_Segment,Satisfaction_Score,Delivery_Time,Quarter,Promotion_Flag,Return_Rate
2024-12-31,Printer,Office,North,4,3640,348.93,1347,967.85,Frecuente,8.9,8,4,0,0.068
2022-11-27,Mouse,Accessories,East,7,1197,106.53,7852,318.27,Premium,7.7,2,4,1,0.144
2022-05-11,Tablet,Electronics,South,5,5865,502.73,6718,1334.33,Frecuente,9.2,13,2,0,0.016
2024-03-16,Mouse,Accessories,South,2,786,202.87,4669,1221.39,Ocasional,9.3,2,1,0,0.085
2022-09-10,Mouse,Accessories,West,1,509,103.28,4613,537.35,Ocasional,6.5,13,3,0,0.051
2023-12-01,Camera,Electronics,West,1,524,106.35,8656,876.34,Nuevo,7.0,11,4,1,0.097
2023-10-09,Headphones,Accessories,North,7,6167,1027.98,1316,228.72,Ocasional,7.1,14,4,1,0.097
2022-01-14,Camera,Electronics,South,7,3059,873.5,7124,1459.07,Frecuente,6.7,1,1,1,0.036
2022-04-02,Smartwatch,Electronics,East,9,5526,595.28,2413,1356.28,Frecuente,7.6,4,2,1,0.118
2024-10-22,Printer,Office,South,8,672,186.37,1394,1384.41,Frecuente,6.8,1,4,0,0.014
2023-12-04,Monitor,Accessories,South,6,7074,1357.68,5501,511.6,Ocasional,8.4,6,4,1,0.123
2022-09-27,Smartwatch,Electronics,East,2,502,137.4,9768,270.32,Ocasional,6.4,13,3,0,0.032
2023-12-21,Tablet,Electronics,North,7,7462,2166.17,7489,333.42,Frecuente,7.1,11,4,1,0.088
2024-02-03,Smartphone,Electronics,West,5,4205,585.29,7730,153.2,Nuevo,8.7,10,1,1,0.052
2023-10-10,Camera,Electronics,West,1,570,138.54,7316,197.76,Frecuente,7.6,12,4,1,0.091
2022-10-16,Headphones,Accessories,East,1,441,102.42,7967,125.53,Premium,7.7,1,4,0,0.04
2022-05-15,Mouse,Accessories,North,7,7469,589.81,5375,1484.94,Frecuente,9.2,12,2,0,0.085
2023-02-11,Tablet,Electronics,South,2,2212,145.75,1717,129.61,Nuevo,9.9,5,1,0,0.001
2023-12-27,Tablet,Electronics,East,5,740,146.39,8477,216.16,Nuevo,8.3,10,4,0,0.056
2023-10-05,Headphones,Accessories,North,1,662,193.92,4778,1244.34,Frecuente,6.3,11,4,1,0.124
2024-03-05,Mouse,Accessories,North,7,5712,651.27,5253,878.76,Nuevo,6.4,10,1,1,0.069
2023-07-18,Smartwatch,Electronics,North,3,2739,572.73,4022,1166.14,Nuevo,9.9,6,3,0,0.075
2023-06-25,Keyboard,Accessories,West,5,1400,213.63,2234,953.75,Ocasional,8.7,9,2,1,0.093
2023-11-13,Printer,Office,North,3,3477,939.2,9304,1325.62,Nuevo,9.0,7,4,0,0.065
2022-07-09,Camera,Electronics,North,5,3475,570.36,7924,964.93,Frecuente,8.7,9,3,0,0.13
2023-12-11,Laptop,Electronics,West,9,6138,1562.14,6616,792.75,Ocasional,6.7,7,4,0,0.06
2023-03-18,Camera,Electronics,West,5,3665,406.93,4322,1074.87,Ocasional,7.8,6,1,0,0.141
2024-08-09,Printer,Office,North,2,2372,206.42,8316,682.14,Ocasional,9.2,3,3,1,0.132
2024-05-04,Laptop,Electronics,North,2,1382,211.11,5681,532.17,Frecuente,9.5,6,2,1,0.063
2022-09-04,Laptop,Electronics,West,1,1126,194.08,4712,712.13,Ocasional,6.9,11,3,1,0.055
2022-10-21,Printer,Office,West,8,1376,152.1,4779,271.18,Nuevo,8.4,13,4,0,0.101
2024-01-22,Mouse,Accessories,West,4,988,147.91,2658,1198.93,Frecuente,6.6,2,1,0,0.113
2023-04-09,Laptop,Electronics,North,9,10773,1907.36,1375,405.84,Nuevo,9.8,3,2,0,0.028
2023-02-07,Headphones,Accessories,South,4,3252,713.46,5768,247.23,Frecuente,7.0,8,1,0,0.036
2023-05-04,Headphones,Accessories,North,3,2739,202.81,8934,384.6,Frecuente,8.9,10,2,0,0.022
2023-04-18,Tablet,Electronics,South,7,2709,702.79,1106,1266.26,Premium,6.9,3,2,0,0.114
2022-12-12,Printer,Office,West,3,936,201.24,8653,508.7,Ocasional,8.5,5,4,1,0.107
2022-09-11,Camera,Electronics,West,4,3720,410.92,8362,1035.35,Ocasional,8.6,1,3,0,0.028
2024-03-26,Mouse,Accessories,West,5,5320,716.91,3129,1287.49,Frecuente,7.3,1,1,1,0.081
2023-09-20,Headphones,Accessories,East,4,804,121.51,6500,135.06,Ocasional,9.3,3,3,0,0.115
2023-05-25,Laptop,Electronics,North,8,1224,246.77,2069,1152.24,Frecuente,9.5,11,2,0,0.142
2022-12-04,Headphones,Accessories,South,9,8667,781.78,7701,475.34,Frecuente,9.4,13,4,1,0.027
2022-06-10,Monitor,Accessories,West,3,3018,320.11,7154,340.6,Nuevo,7.3,7,2,1,0.046
2023-02-05,Laptop,Electronics,West,5,4325,1023.39,3867,1039.57,Ocasional,9.0,3,1,1,0.052
2024-01-20,Laptop,Electronics,South,3,1557,181.08,1145,1366.5,Ocasional,8.2,13,1,1,0.094
2022-01-27,Monitor,Accessories,South,6,3672,1002.5,9721,456.63,Ocasional,8.4,4,1,0,0.02
2023-03-29,Mouse,Accessories,West,1,333,72.34,4734,861.87,Nuevo,7.9,3,1,1,0.029
2022-01-17,Headphones,Accessories,West,4,2384,577.26,8984,448.95,Frecuente,8.4,2,1,1,0.117
2024-11-26,Mouse,Accessories,West,6,888,210.39,6940,840.34,Frecuente,6.5,5,4,0,0.081
2024-09-19,Laptop,Electronics,West,5,3280,954.17,7894,940.36,Premium,7.6,11,3,0,0.024
2023-07-20,Mouse,Accessories,South,7,1239,177.39,7719,923.3,Ocasional,6.7,6,3,0,0.058
2024-05-03,Headphones,Accessories,East,8,5880,436.85,2349,942.85,Ocasional,7.1,7,2,1,0.02
2022-09-03,Smartphone,Electronics,West,2,1668,437.3,3957,219.92,Ocasional,6.5,5,3,1,0.054
2024-07-09,Printer,Office,West,7,4109,1037.64,4933,1046.44,Frecuente,6.8,14,3,1,0.06
2022-11-17,Smartwatch,Electronics,West,7,595,148.5,5229,1018.63,Premium,9.1,10,4,0,0.017
2023-12-28,Headphones,Accessories,East,7,8155,1587.91,916,1030.23,Ocasional,8.2,10,4,0,0.009
2022-05-30,Monitor,Accessories,South,3,1872,553.1,5692,129.62,Nuevo,6.1,7,2,0,0.132
2024-04-17,Smartwatch,Electronics,East,6,2124,126.03,1965,681.32,Frecuente,9.2,8,2,0,0.133
2024-09-30,Monitor,Accessories,West,5,5210,1338.8,7562,625.37,Frecuente,9.6,13,3,0,0.0
2024-06-02,Mouse,Accessories,South,7,5761,362.48,6988,148.33,Frecuente,9.5,10,2,0,0.096
2022-09-26,Headphones,Accessories,South,7,6895,1596.35,9264,349.1,Frecuente,9.3,12,3,0,0.014
2024-12-17,Smartwatch,Electronics,East,3,2118,317.08,7575,672.62,Frecuente,10.0,1,4,0,0.122
2024-10-09,Smartwatch,Electronics,North,5,830,58.28,3983,1119.5,Frecuente,8.3,13,4,1,0.132
2023-07-14,Smartwatch,Electronics,North,1,851,93.56,9691,370.85,Ocasional,9.9,14,3,0,0.092
2023-12-05,Tablet,Electronics,East,5,4730,1365.63,4403,1248.03,Frecuente,9.8,10,4,0,0.092
2022-06-03,Mouse,Accessories,West,6,5460,845.75,3595,827.78,Frecuente,7.3,14,2,0,0.056
2024-12-28,Headphones,Accessories,East,5,5795,310.6,9102,1145.42,Premium,9.5,8,4,1,0.037
2022-08-06,Laptop,Electronics,South,4,2008,338.44,4019,719.38,Nuevo,9.2,4,3,1,0.075
2023-06-06,Mouse,Accessories,South,7,2842,425.24,1225,758.81,Frecuente,9.1,9,2,0,0.02
2024-02-01,Mouse,Accessories,East,4,3404,392.22,4960,937.18,Frecuente,9.6,9,1,1,0.101
2023-05-31,Smartwatch,Electronics,West,1,1065,228.63,8058,1393.4,Premium,7.5,3,2,1,0.071
2024-06-14,Tablet,Electronics,West,7,2149,121.69,2299,747.88,Ocasional,7.6,3,2,0,0.027
2024-08-14,Keyboard,Accessories,East,8,5912,1143.04,4897,802.41,Nuevo,8.6,5,3,0,0.088
2023-02-01,Mouse,Accessories,West,3,3348,331.28,1734,910.96,Premium,9.0,8,1,0,0.119
2024-04-28,Smartphone,Electronics,South,3,2409,531.79,7021,1111.52,Premium,9.5,3,2,0,0.088
2024-04-05,Tablet,Electronics,North,2,328,39.51,5019,126.34,Premium,9.5,11,2,0,0.079
2024-01-31,Smartphone,Electronics,West,8,6224,1561.42,3636,783.22,Ocasional,8.9,2,1,0,0.127
2024-01-09,Smartwatch,Electronics,North,5,2530,486.09,2655,732.76,Nuevo,9.8,14,1,0,0.002
2022-04-06,Headphones,Accessories,West,4,4108,462.17,5862,1384.09,Frecuente,6.7,10,2,0,0.093
2024-05-22,Printer,Office,South,5,1640,391.36,6863,750.39,Frecuente,9.8,5,2,0,0.061
2023-12-30,Laptop,Electronics,South,1,111,19.33,9432,713.11,Ocasional,6.3,6,4,0,0.029
2022-03-17,Headphones,Accessories,North,1,445,128.89,4652,1444.06,Ocasional,8.2,10,1,0,0.147
2022-05-24,Printer,Office,North,4,3600,623.72,2026,686.85,Frecuente,6.4,2,2,0,0.061
2024-06-09,Mouse,Accessories,North,3,1335,176.44,8410,287.71,Frecuente,8.3,11,2,0,0.05
2024-12-01,Keyboard,Accessories,South,5,3090,242.15,6482,341.04,Frecuente,7.6,8,4,1,0.025
2023-10-20,Printer,Office,East,5,3910,538.52,7152,160.88,Ocasional,6.3,4,4,0,0.15
2024-03-05,Camera,Electronics,South,1,219,32.67,1423,20.84,Ocasional,8.6,13,1,0,0.128
2022-12-05,Smartphone,Electronics,West,5,390,27.77,3467,659.28,Ocasional,8.9,9,4,0,0.01
2022-08-05,Laptop,Electronics,North,6,3294,359.61,7794,1158.48,Ocasional,6.7,3,3,0,0.085
2023-03-21,Keyboard,Accessories,West,4,4572,1038.05,8406,1105.53,Frecuente,8.8,10,1,0,0.022
2022-02-08,Monitor,Accessories,South,7,980,109.94,4634,67.58,Frecuente,6.7,6,1,0,0.107
2023-04-01,Headphones,Accessories,North,2,2262,532.12,8145,863.57,Premium,6.5,11,2,0,0.073
2022-12-14,Camera,Electronics,South,7,7518,1655.91,8496,248.34,Nuevo,6.6,7,4,1,0.017
2022-05-14,Camera,Electronics,South,1,873,158.97,4181,1412.79,Ocasional,8.4,14,2,0,0.084
2022-02-16,Mouse,Accessories,North,6,1512,423.03,9031,267.7,Frecuente,9.1,13,1,0,0.137
2024-08-28,Laptop,Electronics,West,1,705,165.16,3239,947.43,Premium,8.4,1,3,0,0.051
2023-10-30,Smartwatch,Electronics,North,8,3256,533.7,2775,502.83,Ocasional,9.2,6,4,1,0.008
2023-06-24,Tablet,Electronics,West,4,556,81.77,6983,969.51,Ocasional,8.4,3,2,0,0.142
2023-05-17,Mouse,Accessories,East,9,7101,2105.82,6549,630.14,Ocasional,9.2,7,2,1,0.021
